step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
1,40,816,0.9027740597724915,0.3,3.1366679668426514,1,4.562793254852295,"{""orientation_cued"": 0.849085807800293, ""motion_duration_cued"": 1.490370512008667, ""krauzlis_cued_motion"": 0.7536712884902954, ""spatial_binding"": 0.7096269726753235, ""image_recognition"": 0.7111157178878784}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.0, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N4_H5""}","{""orientation_cued"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 1.296196460723877, ""attention_gradient_norm"": 0.08671737462282181}, ""motion_duration_cued"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 1.7526507377624512, ""attention_gradient_norm"": 0.09170174598693848}, ""krauzlis_cued_motion"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 1.925228476524353, ""attention_gradient_norm"": 0.12052290141582489}, ""spatial_binding"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 1.9974228143692017, ""attention_gradient_norm"": 0.12654900550842285}, ""image_recognition"": {""priority_entropy"": 5.1298980712890625, ""priority_peak"": 0.005917159840464592, ""priority_gradient_norm"": 2.023197650909424, ""attention_gradient_norm"": 0.12203606218099594}}"
2,80,1688,0.8541876554489136,0.425,2.2703819274902344,1,3.0083107948303223,"{""orientation_cued"": 0.688266932964325, ""motion_duration_cued"": 1.464859127998352, ""krauzlis_cued_motion"": 0.7270522117614746, ""spatial_binding"": 0.6974951028823853, ""image_recognition"": 0.693264901638031}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
3,120,2520,0.8434131503105163,0.4,1.3073636293411255,1,2.843374729156494,"{""orientation_cued"": 0.6987074613571167, ""motion_duration_cued"": 1.3849531412124634, ""krauzlis_cued_motion"": 0.7337821125984192, ""spatial_binding"": 0.6942057609558105, ""image_recognition"": 0.705417275428772}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N4_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
4,160,3392,0.8445749282836914,0.425,1.224913239479065,1,3.013409376144409,"{""orientation_cued"": 0.6974779367446899, ""motion_duration_cued"": 1.453255295753479, ""krauzlis_cued_motion"": 0.693037748336792, ""spatial_binding"": 0.6952689290046692, ""image_recognition"": 0.6838347315788269}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N4_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5,200,4272,0.8335986733436584,0.475,1.142535924911499,1,3.0484085083007812,"{""orientation_cued"": 0.6889487504959106, ""motion_duration_cued"": 1.3790991306304932, ""krauzlis_cued_motion"": 0.7083339691162109, ""spatial_binding"": 0.6924801468849182, ""image_recognition"": 0.6991313695907593}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.625, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
6,240,5176,0.8377916574478149,0.475,1.285627841949463,1,3.112377405166626,"{""orientation_cued"": 0.7214785218238831, ""motion_duration_cued"": 1.4309451580047607, ""krauzlis_cued_motion"": 0.6786270141601562, ""spatial_binding"": 0.6937888264656067, ""image_recognition"": 0.664118766784668}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.75}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
7,280,5736,0.8479742407798767,0.4,2.5921707153320312,1,1.9528100490570068,"{""orientation_cued"": 0.7093095183372498, ""motion_duration_cued"": 1.4404418468475342, ""krauzlis_cued_motion"": 0.6968674063682556, ""spatial_binding"": 0.6939932107925415, ""image_recognition"": 0.6992592215538025}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.625, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8,320,6840,0.8364343285560608,0.45,1.1899151802062988,1,3.813493251800537,"{""orientation_cued"": 0.6981558799743652, ""motion_duration_cued"": 1.362551212310791, ""krauzlis_cued_motion"": 0.6778883934020996, ""spatial_binding"": 0.6914652585983276, ""image_recognition"": 0.7521108984947205}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
9,360,7576,0.8529410481452941,0.375,1.6974120140075684,1,2.5257792472839355,"{""orientation_cued"": 0.696471631526947, ""motion_duration_cued"": 1.3792635202407837, ""krauzlis_cued_motion"": 0.7676348090171814, ""spatial_binding"": 0.6966094970703125, ""image_recognition"": 0.7247257828712463}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.125, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
10,400,8312,0.8315516114234924,0.4,0.9440909028053284,0,2.558847427368164,"{""orientation_cued"": 0.6968458890914917, ""motion_duration_cued"": 1.4067680835723877, ""krauzlis_cued_motion"": 0.7078396081924438, ""spatial_binding"": 0.6959252953529358, ""image_recognition"": 0.6503791809082031}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.375, ""image_recognition"": 0.625}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
