step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
8401,40,816,five_tasks,0.9570706844329834,0.575,4.389763832092285,1,102,4.779606580734253,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8402,80,1688,five_tasks,1.3858734726905824,0.4,8.803606033325195,1,109,3.3913800716400146,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8403,120,2520,five_tasks,1.1387072682380677,0.4,5.674397945404053,1,104,3.0587100982666016,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8404,160,3392,five_tasks,0.8559625506401062,0.55,3.2625322341918945,1,109,3.1752500534057617,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8405,200,4272,five_tasks,0.8707437992095948,0.5,4.390186786651611,1,110,3.254291534423828,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8406,240,5176,five_tasks,0.8799800872802734,0.45,3.385885238647461,1,113,3.2792065143585205,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8407,280,5736,five_tasks,1.0632182121276856,0.275,5.74189567565918,1,70,2.0806498527526855,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8408,320,6840,five_tasks,0.9060572981834412,0.475,2.7759876251220703,1,138,3.9645602703094482,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8409,360,7576,five_tasks,1.01713525056839,0.35,4.356688022613525,1,92,2.6761975288391113,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
8410,400,8312,five_tasks,0.9738198518753052,0.4,3.484065532684326,1,92,2.685593843460083,"{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
