step,added_episodes,delay,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
10001,8,12,1.3646955490112305,0.5,1.8512426614761353,1,23,2.941431999206543,{}
10002,16,4,1.4040273427963257,0.25,1.6074265241622925,1,15,0.8224623203277588,{}
10003,24,24,1.4007055759429932,0.125,3.322967052459717,1,35,1.8248076438903809,{}
10004,32,0,1.4221150875091553,0.25,1.721645474433899,1,11,0.6073682308197021,{}
10005,40,12,1.3952043056488037,0.25,3.421513795852661,1,23,1.3855202198028564,{}
10006,48,0,1.4067147970199585,0.125,2.1843769550323486,1,11,0.6951949596405029,{}
10007,56,24,1.378774881362915,0.375,2.3520758152008057,1,35,2.102905035018921,{}
10008,64,4,1.3987107276916504,0.125,2.069204568862915,1,15,0.9356131553649902,{}
10009,72,0,1.3855395317077637,0.25,2.0273406505584717,1,11,0.6723077297210693,{}
10010,80,24,1.4229085445404053,0.0,3.2285802364349365,1,35,2.093621253967285,{}
10011,88,4,1.4065485000610352,0.125,2.3368163108825684,1,15,0.9767158031463623,{}
10012,96,12,1.389786720275879,0.25,2.5788819789886475,1,23,1.4694774150848389,{}
10013,104,24,1.3837555646896362,0.25,1.6643449068069458,1,35,2.160005807876587,{}
10014,112,0,1.3944196701049805,0.375,1.2319130897521973,1,11,0.9254214763641357,{}
10015,120,12,1.3917404413223267,0.125,1.8074599504470825,1,23,1.4928967952728271,{}
10016,128,4,1.3846490383148193,0.25,1.4075127840042114,1,15,1.024888515472412,{}
10017,136,12,1.3960421085357666,0.0,1.993384838104248,1,23,1.460515022277832,{}
10018,144,24,1.380942702293396,0.375,1.585623860359192,1,35,2.1212987899780273,{}
10019,152,0,1.4054566621780396,0.25,1.4969403743743896,1,11,0.7222461700439453,{}
10020,160,4,1.3771589994430542,0.375,1.5283313989639282,1,15,0.9458348751068115,{}
10021,168,4,1.3609832525253296,0.5,1.22672700881958,1,15,0.9778957366943359,{}
10022,176,0,1.4159355163574219,0.0,1.4215209484100342,1,11,0.7743101119995117,{}
10023,184,12,1.3866742849349976,0.125,1.6934744119644165,1,23,1.4514203071594238,{}
10024,192,24,1.4230788946151733,0.125,1.9752795696258545,1,35,2.1649420261383057,{}
10025,200,4,1.4081933498382568,0.125,0.4407498240470886,0,15,0.9312138557434082,{}
10026,208,24,1.402536153793335,0.125,0.5699342489242554,0,35,2.381314754486084,{}
10027,216,0,1.4079506397247314,0.25,1.4729121923446655,1,11,0.7100880146026611,{}
10028,224,12,1.4170795679092407,0.125,2.1566600799560547,1,23,1.5548126697540283,{}
10029,232,4,1.3873034715652466,0.375,1.3967825174331665,1,15,0.9391443729400635,{}
10030,240,24,1.4152275323867798,0.125,1.9156066179275513,1,35,2.0694098472595215,{}
10031,248,12,1.368738055229187,0.5,1.5538941621780396,1,23,1.4110138416290283,{}
10032,256,0,1.395743727684021,0.25,1.2675890922546387,1,11,0.7714624404907227,{}
10033,264,4,1.3831026554107666,0.125,1.3740533590316772,1,15,0.8889098167419434,{}
10034,272,0,1.3829765319824219,0.375,1.267460584640503,1,11,0.6931366920471191,{}
