step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
8401,67208,1061992,binding_D24,0.0,1.0,1.2877935162691756e-08,0,29,1.3980562686920166,{}
8402,67216,1062080,motion_D0,1.1217211484909058,0.25,64.6458969116211,1,11,0.3256189823150635,{}
8403,67224,1062120,binding_D0,0.0005050812615081668,1.0,0.16193504631519318,0,5,0.1055760383605957,{}
8404,67232,1062400,motion_D24,1.129942536354065,0.375,36.94623947143555,1,35,0.7249000072479248,{}
8405,67240,1062472,binding_D4,0.0004559939552564174,1.0,0.1399722546339035,0,9,0.18883347511291504,{}
8406,67248,1062752,motion_D24,1.1649528741836548,0.375,11.670822143554688,1,35,0.7279708385467529,{}
8407,67256,1063032,motion_D24,1.0995755195617676,0.5,20.8748779296875,1,35,0.7410693168640137,{}
8408,67264,1063312,motion_D24,1.5014622211456299,0.25,86.70637512207031,1,35,0.7195694446563721,{}
8409,67272,1063592,motion_D24,1.4080442190170288,0.375,51.21376419067383,1,35,0.722937822341919,{}
8410,67280,1063632,binding_D0,1.4901160305669237e-08,1.0,3.482490910755587e-06,0,5,0.10945558547973633,{}
8411,67288,1063864,binding_D24,0.010466095991432667,1.0,9.026708602905273,1,29,0.5808355808258057,{}
8412,67296,1063952,motion_D0,1.2125078439712524,0.375,61.75014114379883,1,11,0.2493574619293213,{}
8413,67304,1064232,motion_D24,1.141093134880066,0.375,18.49431037902832,1,35,0.7322652339935303,{}
8414,67312,1064368,binding_D12,1.4901160305669237e-08,1.0,4.099131274415413e-06,0,17,0.3737938404083252,{}
8415,67320,1064408,single_D0,0.0002404339611530304,1.0,0.029428210109472275,0,5,0.10857915878295898,{}
8416,67328,1064688,motion_D24,1.0505070686340332,0.5,20.315776824951172,1,35,0.7375593185424805,{}
8417,67336,1064824,single_D12,1.1051852703094482,0.5,55.57728958129883,1,17,0.347423791885376,{}
8418,67344,1065104,motion_D24,0.901128351688385,0.5,24.234054565429688,1,35,0.7319715023040771,{}
8419,67352,1065176,single_D4,0.008005696348845959,1.0,1.603430986404419,1,9,0.18822216987609863,{}
8420,67360,1065408,single_D24,1.308411717414856,0.5,133.05348205566406,1,29,0.6070928573608398,{}
8421,67368,1065496,motion_D0,1.2114145755767822,0.5,30.076784133911133,1,11,0.25468969345092773,{}
8422,67376,1065632,single_D12,0.20240938663482666,0.875,19.836124420166016,1,17,0.34494495391845703,{}
8423,67384,1065912,motion_D24,1.227686882019043,0.5,63.69740676879883,1,35,0.7652723789215088,{}
8424,67392,1066144,single_D24,0.3728398084640503,0.875,19.84624481201172,1,29,0.5924863815307617,{}
8425,67400,1066280,binding_D12,2.980229396598588e-07,1.0,0.0001227682369062677,0,17,0.35343480110168457,{}
8426,67408,1066352,binding_D4,0.0,1.0,9.88305686178137e-08,0,9,0.18803095817565918,{}
8427,67416,1066488,binding_D12,1.1920923270736239e-07,1.0,4.669237387133762e-05,0,17,0.3484306335449219,{}
8428,67424,1066576,motion_D0,1.1659491062164307,0.5,9.938411712646484,1,11,0.2498149871826172,{}
8429,67432,1066664,motion_D0,0.954107940196991,0.625,24.75115203857422,1,11,0.24964642524719238,{}
8430,67440,1066752,motion_D0,0.8895883560180664,0.375,15.576216697692871,1,11,0.2501566410064697,{}
8431,67448,1066840,motion_D0,1.1532461643218994,0.5,44.213348388671875,1,11,0.2508571147918701,{}
8432,67456,1066928,motion_D0,1.0765520334243774,0.75,45.070472717285156,1,11,0.2472085952758789,{}
8433,67464,1067016,motion_D0,1.784452199935913,0.5,43.79172897338867,1,11,0.26271653175354004,{}
8434,67472,1067056,binding_D0,0.0,1.0,7.98329224949157e-09,0,5,0.1105809211730957,{}
8435,67480,1067144,motion_D0,1.0142855644226074,0.5,33.89970779418945,1,11,0.24635958671569824,{}
8436,67488,1067424,motion_D24,1.670177698135376,0.125,7.208723545074463,1,35,0.742387056350708,{}
8437,67496,1067496,single_D4,0.04673077538609505,1.0,37.00773620605469,1,9,0.19209933280944824,{}
8438,67504,1067728,binding_D24,0.0051343548111617565,1.0,2.469273090362549,1,29,0.5832364559173584,{}
8439,67512,1068008,motion_D24,1.170536994934082,0.375,17.515634536743164,1,35,0.7443866729736328,{}
8440,67520,1068048,single_D0,1.0996884157066233e-05,1.0,0.0014103484572842717,0,5,0.11143040657043457,{}
8441,67528,1068328,motion_D24,1.1868771314620972,0.5,28.446361541748047,1,35,0.767202615737915,{}
8442,67536,1068416,motion_D0,1.135791301727295,0.5,32.41272735595703,1,11,0.255765438079834,{}
8443,67544,1068504,motion_D0,0.9653170704841614,0.625,21.18683433532715,1,11,0.25115251541137695,{}
8444,67552,1068592,motion_D0,0.8690727949142456,0.625,22.518550872802734,1,11,0.2510986328125,{}
8445,67560,1068872,motion_D24,1.1516209840774536,0.5,8.418882369995117,1,35,0.7413849830627441,{}
8446,67568,1068960,motion_D0,1.305197834968567,0.5,38.43558883666992,1,11,0.2506084442138672,{}
8447,67576,1069240,motion_D24,1.187411904335022,0.375,21.74562644958496,1,35,0.7606625556945801,{}
8448,67584,1069312,binding_D4,0.0,1.0,1.046114732616843e-07,0,9,0.19347190856933594,{}
8449,67592,1069384,single_D4,0.1555844396352768,0.875,89.82902526855469,1,9,0.19415831565856934,"{""first_sensory_field_gradient_norm"": 0.06154349818825722, ""early_r_gradient_norm"": 0.3727802634239197, ""early_r_rms"": 0.047168996185064316, ""early_a_gradient_norm"": 0.009524863213300705, ""early_a_rms"": 0.0, ""late_r_gradient_norm"": 0.10460560768842697, ""late_r_rms"": 0.2778611481189728, ""late_a_gradient_norm"": null, ""late_a_rms"": 0.04400913044810295, ""attention_gradient_norm"": 2.007282257080078, ""encoder_gradient_norm"": 20.303462982177734, ""raw_recurrent_gradient_rms"": 1.6493168004672043e-05, ""state_stats"": {""inactive_fraction"": 0.1252426952123642, ""tau_r_mean"": 4.8755388259887695, ""tau_a_mean"": 37.8046989440918, ""adaptation_gain_mean"": 0.04522384703159332, ""memory_attention_mass"": 0.28203052282333374, ""locality"": [4.031345367431641, 4.0281195640563965]}, ""effective_recurrent_relative_update"": 8.071852062130347e-05}"
8450,67600,1069472,motion_D0,1.3400112390518188,0.25,58.70903778076172,1,11,0.24647808074951172,{}
8451,67608,1069560,motion_D0,1.0166152715682983,0.875,19.132848739624023,1,11,0.26807236671447754,{}
8452,67616,1069632,binding_D4,0.0,1.0,4.782034577349714e-12,0,9,0.19463777542114258,{}
8453,67624,1069864,single_D24,2.095219135284424,0.5,76.62786865234375,1,29,0.6056404113769531,{}
8454,67632,1070144,motion_D24,1.1541075706481934,0.5,41.59379959106445,1,35,0.7652981281280518,{}
8455,67640,1070280,binding_D12,0.0,1.0,6.316928646832309e-10,0,17,0.35753321647644043,{}
8456,67648,1070512,single_D24,1.6996415853500366,0.5,119.12730407714844,1,29,0.6032125949859619,{}
8457,67656,1070792,motion_D24,1.6844449043273926,0.375,81.04745483398438,1,35,0.7660431861877441,{}
8458,67664,1071024,single_D24,0.6218339800834656,0.75,50.03178787231445,1,29,0.6290576457977295,{}
8459,67672,1071112,motion_D0,0.8345244526863098,0.75,5.317523956298828,1,11,0.25876641273498535,{}
8460,67680,1071248,single_D12,0.2649402916431427,0.875,38.80763244628906,1,17,0.3580920696258545,{}
8461,67688,1071528,motion_D24,1.1733546257019043,0.25,3.8449196815490723,1,35,0.7826426029205322,{}
8462,67696,1071568,single_D0,1.5199162817225442e-06,1.0,0.00019625913409981877,0,5,0.11803078651428223,{}
8463,67704,1071640,single_D4,0.00034240493550896645,1.0,0.05862874910235405,0,9,0.19596147537231445,{}
8464,67712,1071920,motion_D24,1.0547776222229004,0.5,7.6271233558654785,1,35,0.7501790523529053,{}
8465,67720,1072008,motion_D0,0.8808161020278931,0.625,4.41487979888916,1,11,0.2531557083129883,{}
8466,67728,1072144,binding_D12,1.3560018032876542e-06,1.0,0.0003713248297572136,0,17,0.3575561046600342,{}
8467,67736,1072216,binding_D4,0.0,1.0,4.958870647442382e-09,0,9,0.21064138412475586,{}
8468,67744,1072256,binding_D0,2.0861614302702947e-07,1.0,8.304666698677465e-05,0,5,0.11319231986999512,{}
8469,67752,1072344,motion_D0,0.968616247177124,0.5,55.56279754638672,1,11,0.2546098232269287,{}
8470,67760,1072384,binding_D0,0.0,1.0,1.962838247493437e-08,0,5,0.11336207389831543,{}
8471,67768,1072472,motion_D0,1.1473604440689087,0.25,25.544145584106445,1,11,0.25475358963012695,{}
8472,67776,1072752,motion_D24,1.5982847213745117,0.25,64.92328643798828,1,35,0.7582747936248779,{}
8473,67784,1073032,motion_D24,1.2027373313903809,0.5,24.606548309326172,1,35,0.7585229873657227,{}
8474,67792,1073072,single_D0,0.0001038621921907179,1.0,0.03210050240159035,0,5,0.11131620407104492,{}
8475,67800,1073208,single_D12,0.038615696132183075,1.0,7.712395191192627,1,17,0.35888242721557617,{}
8476,67808,1073280,single_D4,0.0013147371355444193,1.0,0.6875585317611694,0,9,0.1933588981628418,{}
8477,67816,1073320,single_D0,0.00047660156269557774,1.0,0.05422054976224899,0,5,0.11109733581542969,{}
8478,67824,1073552,binding_D24,0.0019818716682493687,1.0,0.6001608371734619,0,29,0.6099438667297363,{}
8479,67832,1073784,binding_D24,7.212047421489842e-06,1.0,0.0037725677248090506,0,29,0.610846757888794,{}
8480,67840,1073920,single_D12,0.2554624080657959,0.875,15.38794994354248,1,17,0.36689066886901855,{}
8481,67848,1074008,motion_D0,3.8664608001708984,0.25,240.38375854492188,1,11,0.2550990581512451,{}
8482,67856,1074144,single_D12,0.3132294714450836,0.75,31.826711654663086,1,17,0.35878634452819824,{}
8483,67864,1074216,binding_D4,0.0,1.0,1.048944309189892e-08,0,9,0.1987285614013672,{}
8484,67872,1074448,single_D24,0.6115051507949829,0.625,32.098358154296875,1,29,0.623321533203125,{}
8485,67880,1074728,motion_D24,2.3581056594848633,0.25,142.98101806640625,1,35,0.7681684494018555,{}
8486,67888,1074816,motion_D0,2.5241546630859375,0.25,207.27716064453125,1,11,0.2542872428894043,{}
8487,67896,1074904,motion_D0,1.8903179168701172,0.25,192.74392700195312,1,11,0.2625000476837158,{}
8488,67904,1074992,motion_D0,2.202570915222168,0.25,190.88490295410156,1,11,0.25746917724609375,{}
8489,67912,1075272,motion_D24,1.211582064628601,0.5,67.35604858398438,1,35,0.7735602855682373,{}
8490,67920,1075504,single_D24,0.26044535636901855,0.875,31.514707565307617,1,29,0.612769603729248,{}
8491,67928,1075640,binding_D12,0.0,1.0,1.9734430978246564e-08,0,17,0.3637077808380127,{}
8492,67936,1075776,single_D12,0.12886250019073486,0.875,20.385128021240234,1,17,0.35999321937561035,{}
8493,67944,1075912,binding_D12,1.4901160305669237e-08,1.0,5.505437457031803e-06,0,17,0.36569786071777344,{}
8494,67952,1076192,motion_D24,1.3751543760299683,0.375,100.28175354003906,1,35,0.7939589023590088,{}
8495,67960,1076424,binding_D24,2.9802318834981634e-08,1.0,1.6500354831805453e-05,0,29,0.6080672740936279,{}
8496,67968,1076704,motion_D24,1.8396480083465576,0.25,78.68156433105469,1,35,0.7817397117614746,{}
8497,67976,1076792,motion_D0,1.5509545803070068,0.375,175.64340209960938,1,11,0.2607569694519043,{}
8498,67984,1076832,binding_D0,0.0,1.0,7.003825430729194e-07,0,5,0.1147458553314209,{}
8499,67992,1076904,single_D4,0.00020392696023918688,1.0,0.024344734847545624,0,9,0.19482755661010742,{}
8500,68000,1077040,single_D12,0.016769487410783768,1.0,4.9896697998046875,1,17,0.36098670959472656,{}
8501,68008,1077128,motion_D0,1.5210317373275757,0.625,99.46934509277344,1,11,0.2568199634552002,{}
8502,68016,1077408,motion_D24,1.0775617361068726,0.375,37.60531234741211,1,35,0.7627902030944824,{}
8503,68024,1077640,single_D24,0.07499732077121735,1.0,10.927947998046875,1,29,0.652040958404541,{}
8504,68032,1077680,binding_D0,2.9802318834981634e-08,1.0,3.259442746639252e-05,0,5,0.11993145942687988,{}
8505,68040,1077816,binding_D12,4.1723183130670805e-07,1.0,0.00014614095562137663,0,17,0.3711836338043213,{}
8506,68048,1077856,single_D0,0.001076765009202063,1.0,0.2429875135421753,0,5,0.1121063232421875,{}
8507,68056,1078088,binding_D24,3.3080154935305472e-06,1.0,0.0011379217030480504,0,29,0.6097245216369629,{}
8508,68064,1078224,single_D12,0.22330892086029053,0.875,17.332468032836914,1,17,0.3699512481689453,{}
8509,68072,1078312,motion_D0,1.1280080080032349,0.5,85.48038482666016,1,11,0.2570481300354004,{}
8510,68080,1078592,motion_D24,1.2756186723709106,0.125,76.13810729980469,1,35,0.770442008972168,{}
8511,68088,1078664,single_D4,0.0006409551715478301,1.0,0.20411278307437897,0,9,0.20076870918273926,{}
8512,68096,1078800,single_D12,1.068601369857788,0.5,57.847740173339844,1,17,0.36603784561157227,{}
8513,68104,1079080,motion_D24,0.9547697305679321,0.5,37.09504699707031,1,35,0.7881636619567871,{}
8514,68112,1079360,motion_D24,1.262733817100525,0.5,46.109336853027344,1,35,0.7673017978668213,{}
8515,68120,1079640,motion_D24,1.2393648624420166,0.375,30.958778381347656,1,35,0.7728137969970703,{}
8516,68128,1079712,single_D4,0.0003075056883972138,1.0,0.1338387429714203,0,9,0.19971394538879395,{}
8517,68136,1079992,motion_D24,1.1086006164550781,0.25,28.662538528442383,1,35,0.772188663482666,{}
8518,68144,1080224,single_D24,0.41907820105552673,0.75,42.10866928100586,1,29,0.6393179893493652,{}
8519,68152,1080504,motion_D24,1.5101606845855713,0.25,64.41598510742188,1,35,0.7740352153778076,{}
8520,68160,1080592,motion_D0,2.011657953262329,0.5,114.26284790039062,1,11,0.2528526782989502,{}
8521,68168,1080824,binding_D24,0.0006864122697152197,1.0,0.36702075600624084,0,29,0.633389949798584,{}
8522,68176,1080912,motion_D0,1.8763456344604492,0.375,127.110107421875,1,11,0.2726621627807617,{}
8523,68184,1080984,binding_D4,4.4255666580284014e-06,1.0,0.0013194383354857564,0,9,0.20599031448364258,{}
8524,68192,1081056,binding_D4,1.4901160305669237e-08,1.0,3.156098046019906e-06,0,9,0.20490360260009766,{}
8525,68200,1081336,motion_D24,1.254925012588501,0.375,59.07919692993164,1,35,0.8013052940368652,{}
8526,68208,1081408,single_D4,0.03693689778447151,1.0,8.643649101257324,1,9,0.1990187168121338,{}
8527,68216,1081480,binding_D4,0.002699200063943863,1.0,0.7699257135391235,0,9,0.19871950149536133,{}
8528,68224,1081520,binding_D0,6.55649387226731e-07,1.0,0.0004362050967756659,0,5,0.12966489791870117,{}
8529,68232,1081560,single_D0,0.0002477243833709508,1.0,0.09289930015802383,0,5,0.11281943321228027,{}
8530,68240,1081792,binding_D24,0.00035020028008148074,1.0,0.3769327700138092,0,29,0.6184122562408447,{}
8531,68248,1081880,motion_D0,0.882855236530304,0.5,16.524192810058594,1,11,0.2682359218597412,{}
