step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
8401,67208,1061992,single_D24,0.3966454565525055,0.75,31.777969360351562,1,29,2.9768810272216797,{}
8402,67216,1062128,binding_D12,0.0,1.0,1.3061857151441814e-10,0,17,0.8507034778594971,{}
8403,67224,1062264,single_D12,0.30597350001335144,0.875,35.005435943603516,1,17,0.9152226448059082,{}
8404,67232,1062496,binding_D24,0.0005627861828543246,1.0,0.21444149315357208,0,29,1.4500031471252441,{}
8405,67240,1062728,single_D24,0.39094772934913635,0.75,41.250579833984375,1,29,1.6493566036224365,{}
8406,67248,1062960,binding_D24,0.01924966648221016,1.0,6.825402736663818,1,29,1.7526872158050537,{}
8407,67256,1063240,motion_D24,1.1587672233581543,0.25,44.475555419921875,1,35,2.143794059753418,{}
8408,67264,1063472,binding_D24,0.00017224944895133376,1.0,0.04835447669029236,0,29,1.6010463237762451,{}
8409,67272,1063608,binding_D12,0.02814836986362934,1.0,13.239590644836426,1,17,1.0257759094238281,{}
8410,67280,1063744,single_D12,0.1823950856924057,0.875,14.94399356842041,1,17,1.021662712097168,{}
8411,67288,1063784,binding_D0,2.9802288281643996e-07,1.0,0.0001010230989777483,0,5,0.32729482650756836,{}
8412,67296,1063920,binding_D12,2.6822075938071066e-07,1.0,9.37171935220249e-05,0,17,1.0424935817718506,{}
8413,67304,1064200,motion_D24,1.097459316253662,0.375,9.624062538146973,1,35,2.069953441619873,{}
8414,67312,1064432,single_D24,0.7390828132629395,0.75,68.1190185546875,1,29,1.7600104808807373,{}
8415,67320,1064472,single_D0,0.5677556991577148,0.875,36.10274124145508,1,5,0.31746530532836914,{}
8416,67328,1064752,motion_D24,1.1904230117797852,0.375,18.02481460571289,1,35,2.094031810760498,{}
8417,67336,1064824,single_D4,0.0026181014254689217,1.0,0.5661031007766724,0,9,0.5746746063232422,{}
8418,67344,1064960,binding_D12,0.0,1.0,6.349863497234765e-07,0,17,1.0273289680480957,{}
8419,67352,1065000,single_D0,0.0004846908268518746,1.0,0.05179939791560173,0,5,0.31651782989501953,{}
8420,67360,1065072,single_D4,0.007336619310081005,1.0,4.27224063873291,1,9,0.5237338542938232,{}
8421,67368,1065144,binding_D4,4.3213293565713684e-07,1.0,0.00015804193390067667,0,9,0.6127452850341797,{}
