step,episodes,frames_total,cell,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics
8401,67208,1061992,single_D24,4.938033103942871,0.5,233.58326721191406,1,29,2.3681066036224365,{}
8402,67216,1062128,binding_D12,2.7976882457733154,0.5,71.59577178955078,1,17,0.4840865135192871,{}
8403,67224,1062264,single_D12,6.99242639541626,0.5,159.1429901123047,1,17,0.4696483612060547,{}
8404,67232,1062496,binding_D24,6.683825969696045,0.5,107.56735229492188,1,29,0.7972705364227295,{}
8405,67240,1062728,single_D24,3.5921475887298584,0.5,125.28331756591797,1,29,0.8059179782867432,{}
8406,67248,1062960,binding_D24,2.46279239654541,0.5,76.25756072998047,1,29,0.8307836055755615,{}
8407,67256,1063240,motion_D24,1.545503854751587,0.375,11.462268829345703,1,35,0.9990174770355225,{}
8408,67264,1063472,binding_D24,2.2858033180236816,0.625,72.48863220214844,1,29,0.7883274555206299,{}
8409,67272,1063608,binding_D12,2.6386725902557373,0.625,44.856773376464844,1,17,0.4849283695220947,{}
8410,67280,1063744,single_D12,3.2390260696411133,0.5,102.9200439453125,1,17,0.46871042251586914,{}
8411,67288,1063784,binding_D0,3.689063310623169,0.375,71.1164321899414,1,5,0.16317057609558105,{}
8412,67296,1063920,binding_D12,2.932605266571045,0.625,41.15896224975586,1,17,0.47151637077331543,{}
8413,67304,1064200,motion_D24,1.0385042428970337,0.5,50.14496612548828,1,35,0.9734189510345459,{}
8414,67312,1064432,single_D24,2.493666172027588,0.625,256.4234924316406,1,29,0.8175952434539795,{}
8415,67320,1064472,single_D0,0.8225976228713989,0.625,55.77534484863281,1,5,0.1572706699371338,{}
8416,67328,1064752,motion_D24,1.5428541898727417,0.25,6.622644424438477,1,35,0.9896318912506104,{}
8417,67336,1064824,single_D4,0.9930003881454468,0.875,35.45976257324219,1,9,0.2574269771575928,{}
8418,67344,1064960,binding_D12,2.562373638153076,0.25,56.71185302734375,1,17,0.47420787811279297,{}
8419,67352,1065000,single_D0,0.055778633803129196,1.0,6.565107822418213,1,5,0.1521902084350586,{}
8420,67360,1065072,single_D4,0.4718291461467743,0.875,21.061044692993164,1,9,0.25722599029541016,{}
8421,67368,1065144,binding_D4,0.3940327763557434,0.75,12.627470970153809,1,9,0.2667839527130127,{}
8422,67376,1065216,single_D4,0.1564778983592987,0.875,46.493865966796875,1,9,0.2559928894042969,{}
8423,67384,1065352,binding_D12,0.9117029905319214,0.75,18.402847290039062,1,17,0.4696967601776123,{}
8424,67392,1065488,single_D12,1.8272480964660645,0.25,71.47686767578125,1,17,0.46778225898742676,{}
8425,67400,1065720,single_D24,0.965421199798584,0.75,36.89667510986328,1,29,0.8135826587677002,{}
