step,stage,family,condition,episodes,visual_updates,loss,grad_norm,accuracy,frames,step_seconds,wall_utc
1,bridge,motion_direction,anchor,4,8,0.008049441501498222,0.9258923530578613,1.0,2,1.8910000000614673,2026-09-13T01:13:01.137941+00:00
2,bridge,orientation,anchor,8,16,0.0028099750634282827,0.16781432926654816,1.0,2,0.0779999999795109,2026-09-13T01:13:01.216618+00:00
3,bridge,contrast,anchor,12,24,0.0007736508850939572,0.03098572976887226,1.0,2,0.0940000000409782,2026-09-13T01:13:01.307392+00:00
4,bridge,spatial_frequency,anchor,16,32,0.000438185001257807,0.01938757859170437,1.0,2,0.0779999999795109,2026-09-13T01:13:01.382550+00:00
5,bridge,chromatic_increment,anchor,20,40,0.0018150139367207885,0.07483340799808502,1.0,2,0.0779999999795109,2026-09-13T01:13:01.461641+00:00
6,bridge,contour,anchor,24,48,0.00035814603324979544,0.02395012229681015,1.0,2,0.0779999999795109,2026-09-13T01:13:01.547740+00:00
7,bridge,natural_spectrum,anchor,28,56,0.00043899466982111335,0.018068043515086174,1.0,2,0.1559999999590218,2026-09-13T01:13:01.695875+00:00
8,bridge,motion_direction,bridge_integrate_visible,32,76,1.5746749639511108,15.811488151550293,0.5,5,0.15600000019185245,2026-09-13T01:13:01.856852+00:00
9,bridge,orientation,bridge_integrate_visible,36,96,0.5589520931243896,4.4298577308654785,0.75,5,0.15699999989010394,2026-09-13T01:13:02.007532+00:00
10,bridge,contrast,bridge_integrate_visible,40,116,3.4402308464050293,12.845044136047363,0.5,5,0.14000000013038516,2026-09-13T01:13:02.154808+00:00
11,bridge,spatial_frequency,bridge_integrate_visible,44,136,3.3884799480438232,19.756776809692383,0.5,5,0.17199999978765845,2026-09-13T01:13:02.324646+00:00
12,bridge,chromatic_increment,bridge_integrate_visible,48,156,5.397892951965332,27.708812713623047,0.5,5,0.1720000000204891,2026-09-13T01:13:02.496711+00:00
13,bridge,contour,bridge_integrate_visible,52,172,0.5034267902374268,3.9207847118377686,0.75,4,0.15600000019185245,2026-09-13T01:13:02.650544+00:00
14,bridge,natural_spectrum,bridge_integrate_visible,56,192,2.7876696586608887,17.060941696166992,0.5,5,0.21899999980814755,2026-09-13T01:13:02.873075+00:00
15,bridge,motion_direction,bridge_integrate_transient,60,212,1.5432994365692139,5.740211009979248,0.25,5,0.15600000019185245,2026-09-13T01:13:03.024171+00:00
16,bridge,orientation,bridge_integrate_transient,64,232,0.4750064015388489,3.1979331970214844,0.75,5,0.14099999982863665,2026-09-13T01:13:03.166944+00:00
17,bridge,contrast,bridge_integrate_transient,68,252,2.794273614883423,11.82474422454834,0.5,5,0.18700000015087426,2026-09-13T01:13:03.362834+00:00
18,bridge,spatial_frequency,bridge_integrate_transient,72,272,2.200800657272339,17.175691604614258,0.5,5,0.14099999982863665,2026-09-13T01:13:03.500211+00:00
19,bridge,chromatic_increment,bridge_integrate_transient,76,292,4.919066905975342,42.0818977355957,0.25,5,0.1410000000614673,2026-09-13T01:13:03.638790+00:00
20,bridge,contour,bridge_integrate_transient,80,308,0.6120534539222717,5.019522666931152,0.5,4,0.14000000013038516,2026-09-13T01:13:03.782761+00:00
21,bridge,natural_spectrum,bridge_integrate_transient,84,328,1.2260533571243286,7.905601501464844,0.75,5,0.2029999999795109,2026-09-13T01:13:03.985287+00:00
22,bridge,motion_direction,bridge_recall,88,348,1.4824440479278564,6.468181610107422,0.25,5,0.15699999989010394,2026-09-13T01:13:04.132654+00:00
23,bridge,orientation,bridge_recall,92,368,0.7110340595245361,5.259210586547852,0.5,5,0.125,2026-09-13T01:13:04.262765+00:00
24,bridge,contrast,bridge_recall,96,388,2.532224655151367,10.810115814208984,0.5,5,0.14000000013038516,2026-09-13T01:13:04.408068+00:00
25,bridge,spatial_frequency,bridge_recall,100,408,1.161667823791504,12.72339916229248,0.5,5,0.14099999982863665,2026-09-13T01:13:04.542690+00:00
26,bridge,chromatic_increment,bridge_recall,104,428,9.407979011535645,121.13316345214844,0.0,5,0.1410000000614673,2026-09-13T01:13:04.685097+00:00
27,bridge,contour,bridge_recall,108,448,4.2943196296691895,30.029489517211914,0.5,5,0.17100000008940697,2026-09-13T01:13:04.854488+00:00
